字彙	詞類	中文	註解	級數	學術字彙
close	verb/noun	結束、停止；結局、結尾		Elementary	
close	adj./adv.	(空間或時間上)靠近、接近		Elementary	
close	adj.	親密的、密切的		Elementary	
closed	adj.	閉關自守的、不接受新思想的		High-Intermediate	
closet	noun	衣櫥、壁櫥		Elementary	
closure	noun	關閉、停業、倒閉		High-Intermediate	
cloth	noun	布、布料、抹布		Intermediate	
clothe	verb	給...穿衣、為...提供衣服		Intermediate	
clothes	noun	衣服		Elementary	
clothing	noun	衣服、服裝		Intermediate	
cloud	noun	雲、雲狀物、(網路)雲端		Intermediate	
cloud	verb	(雲、煙等)遮蔽、使模糊		Intermediate	
cloudy	adj.	多雲的、陰天的		Elementary	
clover	noun	苜蓿、三葉草		High-Intermediate	
clown	noun/verb	小丑；扮小丑、扮傻		Intermediate	
club	noun	俱樂部、社團		Elementary	
clue	noun	線索		Intermediate	
clumsy	adj.	笨拙的、不靈活的、笨手笨腳的		Intermediate	
cluster	noun/verb	團、串；成簇、群聚		High-Intermediate	
clutch	verb/noun	緊握、抱緊、(因害怕或痛苦)突然抓住		High-Intermediate	
clutch	noun	離合器、離合器踏板；勢力範圍、控制、掌管；一群(人或動物)、一批(物品)		High-Intermediate	
coach	noun/verb	教練；培訓、指導		Elementary	
coal	noun	煤		Intermediate	
coalition	noun	聯合、(政黨或國家)結盟		High-Intermediate	
coarse	adj.	粗糙的、不光滑的；粗俗的、粗魯無禮的		Intermediate	
coast	noun	海岸		Elementary	
coastal	adj.	沿海的		High-Intermediate	
coastline	noun	海岸線		High-Intermediate	
coat	noun	外套、大衣		Elementary	
cocaine	noun	古柯鹼		High-Intermediate	
cock	noun	公雞、雄鳥		Intermediate	
cockpit	noun	(飛機或船的)駕駛艙、(賽車的)駕駛座		High-Intermediate	
cockroach	noun	蟑螂	= roach	Elementary	
cocktail	noun	雞尾酒		Intermediate	
cocoa	noun	可可粉、熱可可		Intermediate	
coconut	noun	椰子		Intermediate	
cocoon	noun/verb	繭、保護膜、避風港；將...裹住、把...包緊		High-Intermediate	
code	noun	密碼、代碼、編碼；法規、行為準則、規範		Intermediate	L4
code	verb	把...譯成密碼、編碼		Intermediate	L4
coffee	noun	咖啡		Elementary	
coffin	noun	棺材、靈柩		High-Intermediate	
coherent	adj.	(看法、論點)連貫的、條理清晰的		High-Intermediate	L9
coil	noun/verb	(繩索、頭髮或電線等的)捲、圈；盤繞、捲成捲狀		High-Intermediate	
coin	noun	硬幣		Elementary	
coincide	verb	同時發生、相符、一致		High-Intermediate	L9
coincidence	noun	巧合、同時發生		Intermediate	
Coke	noun	可口可樂		Elementary	
cola	noun	可樂	= Coke	Elementary	
cold	adj./noun	冷的、冷淡的；寒冷、感冒		Elementary	
collaboration	noun	合作、勾結		High-Intermediate	
collapse	verb/noun	倒塌、崩潰、失敗、昏倒		Intermediate	L10
collar	noun	衣領、項圈		Intermediate	
colleague	noun	同事		Intermediate	L10
collect	verb	收集		Elementary	
collected	adj.	冷靜的、鎮定的		High-Intermediate	
collected	adj.	收集成冊的、收集成系列的		High-Intermediate	
collection	noun	收藏品、收集		Elementary	
collective	adj./noun	集體的、共同的；企業集團、集體企業		High-Intermediate	
collector	noun	收集者、收藏家		High-Intermediate	
college	noun	大學、學院		Elementary	
collide	verb	相撞、衝突		High-Intermediate	
collision	noun	碰撞(事故)、衝突牴觸		High-Intermediate	
colloquial	adj.	口語的		High-Intermediate	
colonel	noun	上校		High-Intermediate	
colonial	adj./noun	殖民的、殖民主義的、具有殖民地風格的；殖民地居民		High-Intermediate	
colony	noun	殖民地、群體、群落		Intermediate	
color	noun/verb	顏色；著色	= colour (British English)	Elementary	
colored	adj.	彩色的、有...色彩的		Intermediate	
colorful	adj.	色彩豐富的	= colourful (British English)	Elementary	
column	noun	(書報雜誌上的)欄、專欄；石柱、紀念柱；(人或車輛的)縱隊、長列		Intermediate	
columnist	noun	專欄作家		High-Intermediate	
comb	noun/verb	梳子；梳理		Elementary	
combat	noun/verb	戰鬥、打鬥		High-Intermediate	
combination	noun	組合、結合、混合		Intermediate	
combine	verb	結合、混合		Intermediate	
come	verb	來		Elementary	
comeback	noun	復出、再度受歡迎		High-Intermediate	
comedian	noun	喜劇演員		Intermediate	
comedown	noun	衰落、落魄		High-Intermediate	
comedy	noun	喜劇		Intermediate	
comet	noun	彗星		High-Intermediate	
comfort	verb	安慰、撫慰		Intermediate	
comfort	noun	舒服；安慰、慰藉、令人感到安慰的人事物；舒適的設施或條件		Intermediate	
comfortable	adj.	舒適的		Elementary	
comic	adj.	滑稽的、好笑的		Elementary	
comic	noun	漫畫		Elementary	
coming	adj./noun	即將到來的、下一個的；到來、來臨		Intermediate	
comma	noun	逗號		High-Intermediate	
command	verb/noun	命令、指揮、掌握		Elementary	
commander	noun	指揮官		Intermediate	
commemorate	verb	紀念、緬懷		High-Intermediate	
commence	verb	開始		High-Intermediate	L9
commend	verb	稱讚、表揚、推薦		High-Intermediate	
comment	noun/verb	評論		Elementary	L3
commentary	noun	評論、註釋、實況報導		High-Intermediate	
commentator	noun	評論員、實況播音員		High-Intermediate	
commerce	noun	商業、貿易		Intermediate	
commercial	adj./noun	商業的、商業化的、以營利為目的的；商業廣告		Intermediate	
commission	noun/verb	委任、委員會；委託		Intermediate	L2
commission	noun	佣金、手續費		Intermediate	L2
commissioner	noun	委員、專員、(政府部門的)首長或長官		High-Intermediate	
commit	verb	犯(罪、錯)；承諾、致力於、投入(時間或金錢)		Intermediate	L4
commitment	noun	承諾、保證、奉獻		Intermediate	L4
committee	noun	委員會		Intermediate	
commodity	noun	商品、貨物、有價值的事物		High-Intermediate	L8
common	adj.	常見的、共同的		Elementary	
commonplace	adj./noun	平凡的、普通的；常見的事		High-Intermediate	
commonwealth	noun	聯邦、自治政區		High-Intermediate	
communal	adj.	共享的、公共的		High-Intermediate	
communicate	verb	交流、溝通		Intermediate	L4
communication	noun	交流、溝通		Intermediate	
communicative	adj.	健談的、溝通的、語言交際能力的		High-Intermediate	
communism	noun	共產主義		High-Intermediate	
communist	adj./noun	共產主義的、共產黨的；共產主義者、共產黨員		Intermediate	
community	noun	社區、團體		Intermediate	L2
commute	verb/noun	通勤		High-Intermediate	
commute	verb	用...替代、變換；減輕(刑罰)		High-Intermediate	
commuter	noun	通勤者		High-Intermediate	
compact	adj./verb/noun	小型的、結實的、簡潔的；使緊密；小型車		High-Intermediate	
companion	noun/verb	同伴、陪伴；陪伴		Intermediate	
companionship	noun	友誼、情誼		High-Intermediate	
company	noun	公司；陪伴		Elementary	
comparable	adj.	(大小、數量或品質上)相當的、類似的		High-Intermediate	
comparative	adj./noun	相對的、比較的；(形容詞或副詞的)比較級		Intermediate	
compare	verb	比較		Elementary	
comparison	noun	比較、對比		Intermediate	
compartment	noun	車廂隔間、隔間		High-Intermediate	
compass	noun	羅盤、指南針、圓規；範圍、界線		High-Intermediate	
compass	verb	包圍		High-Intermediate	
compassion	noun	同情、憐憫		High-Intermediate	
compassionate	adj.	有同情心的		High-Intermediate	
compatible	adj.	相容的、可共存的		High-Intermediate	L9
compel	verb	強迫、迫使		High-Intermediate	
compelling	adj.	(理由或論證等)令人信服的、很有說服力的；引人入勝的、令人信服的		High-Intermediate	
compensate	verb	賠償、彌補		High-Intermediate	L3
compensation	noun	補償、補償物、賠償金		High-Intermediate	
compete	verb	競爭、參加比賽		Intermediate	
competence	noun	能力、本領；(法庭、機構或人的)權限、管轄權		High-Intermediate	
competent	adj.	有能力的、稱職的、合格的		High-Intermediate	
competing	adj.	只能選其一的、不能同時接受的		High-Intermediate	
competition	noun	競賽、競爭		Intermediate	
competitive	adj.	競爭的、(價格、服務等)有競爭力的		Intermediate	
competitor	noun	競爭者、參賽者		Intermediate	
compile	verb	編纂、編譯		High-Intermediate	L10
complain	verb	抱怨		Elementary	
complaint	noun	埋怨、投訴		Intermediate	
complement	verb/noun	補充、使完美；補充物、足數、(語法)補語		High-Intermediate	L8
complete	verb/adj.	完成、使完整；完全的、完整的		Elementary	
complex	adj./noun	複雜的、難懂的；複合物、建築群、綜合大樓		Intermediate	L2
complex	noun	(尤指過去的不快經驗造成的)情結		High-Intermediate	L2
complexion	noun	面色、氣色、性質		High-Intermediate	
complexity	noun	複雜性、難懂		High-Intermediate	
complicate	verb	使複雜化、使費解、使(疾病)惡化		Intermediate	
complication	noun	複雜(化)、困難、併發症		High-Intermediate	
compliment	noun/verb	稱讚、道賀；讚美、稱讚		Intermediate	
comply	verb	遵守、服從		High-Intermediate	
component	noun/adj.	構成要素、成分、零件；組成的、構成的		High-Intermediate	L3
compose	verb	組成、構成；作曲、撰寫(信函、講稿、詩歌等)		Intermediate	
composer	noun	作曲家		Intermediate	
composite	adj./noun	合成的、複合的；合成物		High-Intermediate	
composition	noun	作文、作曲、作品；成分、結構		Intermediate	
compound	noun/adj./verb	化合物、複合物、複合詞；複合的；使混合		Intermediate	L5
compound	verb	使惡化、使加劇		Intermediate	L5
comprehend	verb	理解、領悟		High-Intermediate	
comprehension	noun	理解力、理解力測試		Intermediate	
comprehensive	adj.	詳盡的、全面的		High-Intermediate	L7
compress	noun	(止血消炎用)敷布		High-Intermediate	
compress	verb	壓縮、壓緊、精簡(資訊、文字等)		High-Intermediate	
comprise	verb	包括、組成		High-Intermediate	L7
compromise	noun/verb	妥協、折衷、讓步		High-Intermediate	
compulsory	adj.	義務的、必修的、強制的		High-Intermediate	
compute	verb	計算		Intermediate	L2
computer	noun	電腦		Elementary	
computerize	verb	使電腦化、用電腦處理		High-Intermediate	
computing	noun	電腦操作、電腦學		High-Intermediate	
comrade	noun	戰友、(共產黨的)同志		High-Intermediate	
con	noun	騙局；不利條件、弊病		High-Intermediate	
con	verb	欺詐、詐騙		High-Intermediate	
conceal	verb	隱藏、掩飾		Intermediate	
concede	verb	(勉強地)承認、認輸、讓步		High-Intermediate	
conceit	noun	自負、驕傲自大；(尤指詩歌中)巧妙的比喻		High-Intermediate	
conceive	verb	構想、抱持(想法、感情)；受孕、懷孕		High-Intermediate	L10
concentrate	verb	專心、專注、集中(注意力)		Intermediate	L4
concentration	noun	專注、重視、集中		Intermediate	
concept	noun	概念		Intermediate	L1
conception	noun	構想、概念、理解；懷孕、受孕		High-Intermediate	L1
concern	noun/verb	擔心、關心		Elementary	
concerning	prep.	關於		Intermediate	
concert	noun	音樂會、演唱會		Intermediate	
concession	noun	妥協、讓步、承認		High-Intermediate	
concise	adj.	簡明扼要的		High-Intermediate	
conclude	verb	作出結論、斷定、結束		Intermediate	L2
conclusion	noun	結論、結尾		Intermediate	
concrete	noun/verb	混凝土；用混凝土覆蓋		Intermediate	
concrete	adj.	具體的、有形的		Intermediate	
condemn	verb	譴責、判刑、迫使處於(不幸狀態)		High-Intermediate	
condemnation	noun	譴責、定罪		High-Intermediate	
condense	verb	(使氣體)凝結、濃縮(液體)、簡縮(文字等)		High-Intermediate	
condition	verb	使適應、使習慣於；為...的條件；使健康、養護(頭髮、皮膚等)		Intermediate	
condition	noun	狀況、狀態；條件、環境；條款		Intermediate	
condom	noun	保險套		High-Intermediate	
conduct	verb	執行、引導、指揮(合唱團或樂隊)；表現、舉止		Intermediate	L2
conduct	noun	行為、舉止		Intermediate	L2
conductor	noun	(合唱團或樂隊的)指揮、列車長		Intermediate	
cone	noun	圓錐體、冰淇淋筒		Intermediate	
confederation	noun	聯盟、(加拿大)聯邦		High-Intermediate	
confer	verb	商討、協商；授予(獎項、學位、榮譽等)		High-Intermediate	L4
conference	noun	會議、研討會		Intermediate	L4
confess	verb	承認(錯誤或罪行)、坦白		Intermediate	
confession	noun	認罪、承認、告解		High-Intermediate	
confidence	noun	信心、自信		Intermediate	
confident	adj.	自信的		Elementary	
confidential	adj.	機密的、祕密的		High-Intermediate	
configuration	noun	結構、配置、格局		High-Intermediate	
confine	verb	限制、監禁		Intermediate	L9
confirm	verb	確認		Elementary	L7
conflict	noun	衝突		Elementary	L5
conform	verb	順從、遵守、相符合		High-Intermediate	L8
confront	verb	面臨(困境)、克服、對抗		Intermediate	
confrontation	noun	對抗、衝突		Intermediate	
Confucius	noun	孔子		Elementary	
confuse	verb	使…困惑		Elementary	
confusion	noun	困惑、混淆、混亂局面		Intermediate	
congratulate	verb	祝賀、道賀		Intermediate	
congratulation	noun	祝賀		Elementary	
congress	noun	代表大會、國會、議會		Intermediate	
congressional	adj.	立法機關的、(美國)國會的		High-Intermediate	
congressman	noun	國會議員、(尤指美國的)眾議會議員		High-Intermediate	
congresswoman	noun	(美國眾議院)國會女議員		High-Intermediate	
conjunction	noun	(語法)連接詞；結合、同時發生、與...一起		Intermediate	
connect	verb	連接、和...有關聯、與(人)建立良好關係		Intermediate	
connection	noun	聯繫、關聯、連接		Intermediate	
conquer	verb	征服、戰勝		Intermediate	
conquest	noun	征服、佔領地、被俘虜的人		High-Intermediate	
conscience	noun	良心		Intermediate	
conscientious	adj.	有良心的、認真勤勉的、謹慎的		High-Intermediate	
conscious	adj.	有知覺的、意識到的		Intermediate	
consciousness	noun	知覺、意識		High-Intermediate	
consecutive	adj.	連續不斷的		High-Intermediate	
consensus	noun	共識		High-Intermediate	L3
consent	noun/verb	同意、贊成		High-Intermediate	L3
consequence	noun	結果、後果		Intermediate	L2
consequent	adj.	隨之發生的		Intermediate	L2
conservation	noun	(對自然環境或歷史建築的)保育、保護、節約		High-Intermediate	
conservative	adj./noun	保守的；保守者		Intermediate	
conserve	verb	保存、保護、節約		High-Intermediate	
conserve	noun	蜜餞、糖漬食品		High-Intermediate	
consider	verb	考慮、認為		Elementary	
considerable	adj.	相當大的、相當多的、可觀的		Intermediate	L3
considerate	adj.	體貼的		Intermediate	
consideration	noun	考慮、需考慮之事、體貼		Intermediate	
considering	prep./conj./adv.	考慮到、就...而言、鑒於		High-Intermediate	
consist	verb	在於、由…組成		Intermediate	L1
consistent	adj.	持續的、始終如一的；一致的、吻合的		Intermediate	
consolation	noun	安慰、慰藉		High-Intermediate	
console	verb	安慰、慰問		High-Intermediate	
consolidate	verb	鞏固、加強；合併、聯合		High-Intermediate	
consonant	noun	子音		Intermediate	
consortium	noun	財團、聯營企業		High-Intermediate	
conspicuous	noun	顯眼的、引人注目的		High-Intermediate	
conspiracy	noun	陰謀、密謀		High-Intermediate	
constable	noun	(低階)警察		High-Intermediate	
constant	adj.	連續不斷的、固定的		Intermediate	L3
constituency	noun	選區、選區選民、支持者		High-Intermediate	
constituent	noun	成分、要素；選民		High-Intermediate	
constituent	adj.	構成的		High-Intermediate	
constitute	verb	組成、構成；被視為；(合法或正式地)設立、成立		Intermediate	L1
constitution	noun	結構、構造；憲法、章程；體質、體格		Intermediate	
constitutional	adj.	符合憲法的、憲法准許的；體質的		High-Intermediate	
constrain	verb	強迫、限制		High-Intermediate	L3
constraint	noun	限制、約束		High-Intermediate	
construct	verb/noun	建造、組成；概念、構想		Intermediate	L2
construction	noun	建造、結構、建築物		Intermediate	
constructive	adj.	建設性的、有助益的		Intermediate	
consult	verb	諮詢、商議		Intermediate	L5
consultant	noun	顧問		Intermediate	
consultation	noun	諮詢、商議、協商會		High-Intermediate	
consume	verb	消耗、花費；(大量地)吃、喝		Intermediate	L2
consumer	noun	消費者、用戶		Intermediate	
consuming	adj.	消耗(時間或精力)的、(感情)強烈的		High-Intermediate	
consumption	noun	消耗(量)、消費		High-Intermediate	
contact	noun/verb	聯繫、接觸;聯繫		Elementary	L5
contact lens	noun	隱形眼鏡		Elementary	
contagious	adj.	(疾病)接觸傳染的、(人)患傳染病的、(情感)具感染力的		High-Intermediate	
contain	verb	包含		Elementary	
container	noun	容器		Intermediate	
contaminant	noun	污染物		High-Intermediate	
contaminate	verb	污染、玷汙		High-Intermediate	
contemplate	verb	仔細考慮、思忖、凝視		High-Intermediate	
contemplation	noun	深思、凝視		High-Intermediate	
contemporary	adj./noun	當代的、同時期的；同時代的人、同輩		Intermediate	L8
contempt	noun	輕蔑、鄙視		High-Intermediate	
contend	verb	聲稱、主張；競爭、爭奪		High-Intermediate	
contender	noun	競爭者、角逐者		High-Intermediate	
content	adj./verb	滿意的、知足的；滿足於		Intermediate	
content	noun	內容、目錄	名詞常使用複數形態	Intermediate	
contention	noun	爭論、論點		High-Intermediate	
contentment	noun	滿意、知足		High-Intermediate	
contest	noun/verb	比賽、競爭；競爭、爭取、爭辯		Intermediate	
contestant	noun	競賽選手、競爭者		High-Intermediate	
context	noun	語境、上下文、(事情發生的)背景		Intermediate	L1
continent	noun	洲、大陸		Intermediate	
continental	adj.	洲的、大陸的		Intermediate	
contingent	noun	(代表某一組織或國家的)代表團、(軍隊的)小分隊；偶然事件		High-Intermediate	
contingent	adj.	視...而定的、取決於...的；偶然的、可能的		High-Intermediate	
continual	adj.	頻繁的、連續的		Intermediate	
continue	verb	繼續		Elementary	
continuity	noun	連續性、連貫		High-Intermediate	
continuous	adj.	不斷的、連續的		Intermediate	
contract	noun/verb	合約；訂約		Elementary	L1
contractor	noun	承包商		High-Intermediate	
contradict	verb	反駁、牴觸		High-Intermediate	L8
contradiction	noun	矛盾、牴觸、反駁		High-Intermediate	
contradictory	adj.	相互矛盾的、不一致的		High-Intermediate	
contrary	adj./noun	相反的、完全不同的；反面、相反事物		Intermediate	L7
contrast	noun/verb	差異、對比；對比、顯出明顯差異		Intermediate	L4
contribute	verb	貢獻、捐款；投稿、撰稿		Intermediate	L3
contribution	noun	貢獻、捐款、捐助；投稿		Intermediate	
contributor	noun	捐贈者、貢獻者；投稿人		High-Intermediate	
contrive	verb	設計、發明；巧妙安排、策畫；設法做到		High-Intermediate	
control	noun/verb	控制		Elementary	
controller	noun	管理者、指揮者；控制器、調節器		High-Intermediate	
controversial	adj.	有爭議的		High-Intermediate	L9
controversy	noun	爭議、辯論		High-Intermediate	L9
convene	verb	召開、開會		High-Intermediate	L3
convenience	noun	便利性、便利設施		Intermediate	
convenience store	noun	便利商店		Elementary	
convenient	adj.	方便的		Elementary	
convention	noun	傳統、習俗、常規；大會、會議；公約、協定		Intermediate	
conventional	adj.	遵循常規的、傳統的		Intermediate	
converge	verb	相交、會合、聚集		High-Intermediate	
conversation	noun	對話		Elementary	
converse	verb	交談		Intermediate	L9
conversely	adv.	相反地		High-Intermediate	L9
conversion	noun	改變、轉換、改變信仰或態度		High-Intermediate	L7
convert	verb/noun	轉換、改變信仰；皈依者		High-Intermediate	L7
convertible	noun/adj.	敞篷車；可轉換的、可兌換的		High-Intermediate	
convey	verb	表達、傳送		Intermediate	
convict	verb/noun	證明有罪、定罪；服刑囚犯		High-Intermediate	
conviction	noun	定罪、判罪；信念、堅信		High-Intermediate	
convince	verb	使相信、說服		Intermediate	L10
convoy	noun/verb	(尤指有護衛的)艦隊、車隊；護衛、護送		High-Intermediate	
cook	verb/noun	烹調；廚師		Elementary	
cooker	noun	爐具		Intermediate	
cookie	noun	(甜)餅乾		Elementary	
cool	adj./verb	涼快的、酷的；使冷卻		Elementary	
cooperate	verb	合作、配合		Intermediate	L6
cooperation	noun	合作、配合		Intermediate	
cooperative	adj./noun	合作的、配合的；合作企業		Intermediate	
coordinate	verb	協調、相配		High-Intermediate	L3
coordinate	adj.	同一類別的、同等重要的		High-Intermediate	L3
coordinate	noun	座標		High-Intermediate	L3
cop	noun	警察、員警；逮捕、拘捕		High-Intermediate	
cop	verb	逮捕、拘捕；抓、拿、握		High-Intermediate	
cope	verb	處理、應付		Intermediate	
copper	noun/adj.	銅、紫銅色；銅製的、紫銅色的		Intermediate	
copy	noun/verb	副本；複製		Elementary	
copyright	noun	版權、著作權		High-Intermediate	
coral	noun/adj.	珊瑚、珊瑚色的		High-Intermediate	
cord	noun	線、繩		Intermediate	
cordial	adj.	熱情友好的、誠摯的		High-Intermediate	
core	noun/verb	果核、核心；去核		High-Intermediate	L3
cork	noun/verb	軟木塞、用軟木塞封瓶		High-Intermediate	
corn	noun	玉米		Elementary	
corner	noun	角落、轉角		Elementary	
corporate	adj.	公司的、法人的		High-Intermediate	L3
corporation	noun	(大)公司	= Corp.	Intermediate	
corps	noun	兵團、部隊、(從事特定工作的)團、組		High-Intermediate	
corpse	noun	屍體		High-Intermediate	
correct	adj./verb	正確的；改正		Elementary	
correction	noun	修正、改正、懲治		High-Intermediate	
correlate	verb	相互關聯		High-Intermediate	
correlation	noun	相關性、關聯		High-Intermediate	
correspond	verb	一致、符合；通信		Intermediate	L3
correspondence	noun	關聯；通信、信件		High-Intermediate	
correspondent	adj.	一致的、對應的		High-Intermediate	
correspondent	noun	記者、通信者		Intermediate	
corridor	noun	走廊、通道		Intermediate	
corrode	verb	侵蝕、腐蝕、損害		High-Intermediate	
corrupt	adj./verb	貪污腐敗的、墮落的；使腐敗		High-Intermediate	
corruption	noun	貪污腐敗、 墮落、腐爛		High-Intermediate	
cosmetic	adj.	化妝用的、表面的		High-Intermediate	
cosmetics	noun	化妝品		High-Intermediate	
cosmic	adj.	宇宙的		High-Intermediate	
cosmopolitan	adj.	來自世界各地的、國際性的		High-Intermediate	
cosmopolitan	noun	見多識廣者		High-Intermediate	
cost	noun/verb	費用、成本；花費		Elementary	
costing	noun	成本計算		High-Intermediate	
costly	adj.	昂貴的、代價高的		Intermediate	
costume	noun	戲服		Intermediate	
cottage	noun	小屋		Intermediate	
cotton	noun	棉		Elementary	
couch	noun	沙發		Elementary	
cough	verb/noun	咳嗽		Elementary	
could	aux.	can的過去式		Elementary	
council	noun	委員會、地方議會		Intermediate	
councilor	noun	(州、市、鎮等)議會議員	= councillor (British English)	High-Intermediate	
counsel	verb	提供諮詢、勸告		High-Intermediate	
counsel	noun	建議、忠告；律師		High-Intermediate	
counselor	noun	顧問、輔導員	= counsellor (British English)	High-Intermediate	
count	verb/noun	數、計算；計數、計算		Elementary	
countable	adj.	可數的		High-Intermediate	
counter	noun	櫃檯、計數器		Intermediate	
counter	verb	反駁		Intermediate	
counterclockwise	adv./adj.	逆時針方向地；逆時針方向的		High-Intermediate	
counterpart	noun	對應的人(或物)		High-Intermediate	
countless	adj.	無數的、不計其數的		High-Intermediate	
country	noun	國家；鄉下		Elementary	
countryside	noun	鄉間		Elementary	
county	noun	縣、郡		Elementary	
coup	noun	意想不到的成功；政變		High-Intermediate	
couple	noun	一對、幾個、一對情侶或夫妻		Elementary	L7
coupon	noun	優惠券、配給券		High-Intermediate	
courage	noun	勇氣		Elementary	
courageous	adj.	勇敢的		Intermediate	
courier	noun	信差、遞送員		High-Intermediate	
course	noun	課程		Elementary	
court	noun	法庭；球場		Elementary	
courteous	adj.	有禮貌的		Intermediate	
courtesy	noun	禮貌		Intermediate	
courtyard	noun	庭院、天井		High-Intermediate	
cousin	noun	堂(表)兄弟姊妹		Elementary	
cover	verb/noun	遮蓋、涵蓋；覆蓋物、封面		Elementary	
coverage	noun	新聞報導、覆蓋範圍		High-Intermediate	
covering	noun	覆蓋物		High-Intermediate	
covet	verb	貪圖、覬覦		High-Intermediate	
cow	noun	母牛		Elementary	
coward	adj./noun	膽小的；懦夫		Intermediate	
cowardly	adj.	膽小懦弱的		High-Intermediate	
cowboy	noun	牛仔		Intermediate	
cozy	adj.	舒適愜意的	= cosy (British English)	High-Intermediate	
crab	noun	螃蟹		Elementary	
crack	noun/verb	裂縫；斷裂		Intermediate	
crackdown	noun	鎮壓、打擊		High-Intermediate	
cracker	noun	薄脆餅乾；爆竹、彩色拉炮		High-Intermediate	
cradle	noun	搖籃、發源地		Intermediate	
cradle	verb	輕輕地抱著		Intermediate	
craft	noun	工藝、技術；船、艇、航空飛行器		Intermediate	
cram	verb	塞滿、擠滿、(考試前)死記硬背		Intermediate	
cramp	noun	痙攣、抽筋		High-Intermediate	
cramp	verb	束縛、阻礙		High-Intermediate	
crane	noun	起重機；鶴		Intermediate	
crane	verb	探出(頭)、伸長(脖子)		Intermediate	
crap	noun	[冒犯]廢話、胡扯、垃圾、排泄物		High-Intermediate	
crap	adj.	[冒犯]劣質的、差勁的		High-Intermediate	
crap	verb	[冒犯]拉屎		High-Intermediate	
crash	verb	碰撞、墜毀；破產、崩盤；(電腦或系統)當機		Intermediate	
crash	noun	撞車事故、失事；碰撞聲；暴跌、倒閉；(電腦或系統)當機		Intermediate	
crater	noun	火山口、(隕石)坑		High-Intermediate	
crawl	verb/noun	爬行、緩慢行進		Intermediate	
crayon	noun	蠟筆		Elementary	
crazy	adj.	瘋狂的		Elementary	
creak	noun/verb	嘎吱聲；嘎吱作響		High-Intermediate	
cream	noun	鮮奶油、奶霜；乳霜、護膚霜		Elementary	
create	verb	創造		Elementary	L1
creation	noun	創造、創作		Intermediate	
creative	adj.	有創意的		Intermediate	
creativity	noun	創造力		High-Intermediate	
creator	noun	創造者、發明者		Intermediate	
creature	noun	生物		Intermediate	
credibility	noun	可信度、可靠性		High-Intermediate	
credible	adj.	可信的		High-Intermediate	
credit	noun	讚許；(經濟上的)信用、賒帳、信用貸款；學分		Intermediate	L2
credit	verb	把錢存進帳戶；歸功於		Intermediate	L2
credit card	noun	信用卡		Elementary	
creditor	noun	債權人、貸方		High-Intermediate	
creek	noun	小溪		High-Intermediate	
creep	verb/noun	躡手躡腳、爬行		Intermediate	
crew	noun	全體工作人員		Intermediate	
crib	noun	嬰兒床		High-Intermediate	
crib	verb	抄襲(作弊)、剽竊		High-Intermediate	
cricket	noun	蟋蟀；板球		Intermediate	
crime	noun	罪行		Elementary	
criminal	adj./noun	犯罪的；罪犯		Intermediate	
cripple	noun	[冒犯]殘障人士、瘸子、跛子		Intermediate	
cripple	verb	使跛腳、使受傷致殘；嚴重損害		Intermediate	
crisis	noun	危機		Elementary	
crisp	adj.	易碎的；酥脆的；涼爽的		Intermediate	
crispy	adj.	酥脆的		Intermediate	
criterion	noun	標準、準則		High-Intermediate	L3
critic	noun	評論家		Intermediate	
critical	adj.	批評的；至關重要的		Intermediate	
criticism	noun	批評、評論		Intermediate	
criticize	verb	批評、評論		Intermediate	
crocodile	noun	鱷魚		High-Intermediate	
crook	noun	彎曲(部分)、曲柄杖		High-Intermediate	
crook	verb	使(手指或手臂)彎曲		High-Intermediate	
crooked	adj.	彎曲的、歪的；欺詐的		High-Intermediate	
crop	noun	農作物		Intermediate	
crop	verb	剪裁、剪短		Intermediate	
cross	verb	穿越、交叉		Elementary	
cross	noun	十字架、十字形		Elementary	
cross-country	noun/adj./adv.	越野賽；越野的；橫越全國地		High-Intermediate	
crossing	noun	交叉口、十字路口、橫渡	= pedestrian crossing, zebra crossing, crosswalk 	High-Intermediate	
crossroad	noun	交叉路口、十字路口		Intermediate	
crouch	verb/noun	蹲(下)、俯蹲(姿勢)		High-Intermediate	
crow	noun	烏鴉		Intermediate	
crow	verb	啼叫		Intermediate	
crowd	noun	人群		Elementary	
crowded	adj.	擁擠的		Elementary	
crown	noun/verb	皇冠；加冕		Intermediate	
crucial	adj.	重要的、決定性的		High-Intermediate	L8
crude	adj.	未加工的、粗野的、粗陋的		High-Intermediate	
cruel	adj.	殘酷的		Elementary	
cruelty	noun	殘酷		Intermediate	
cruise	noun/verb	乘船遊覽、航行		High-Intermediate	
cruiser	noun	遊艇、巡洋艦、巡邏車		High-Intermediate	
crumb	noun	食物碎屑、麵包屑		High-Intermediate	
crumble	noun	酥皮水果甜點		High-Intermediate	
crumble	verb	使成碎屑、崩壞		High-Intermediate	
crunch	verb/noun	(發出)碎裂聲；嘎吱作響(聲)		High-Intermediate	
crunchy	adj.	(食物)酥脆的		High-Intermediate	
crush	verb	壓扁、壓碎		Intermediate	
crush	noun	迷戀		Intermediate	
crust	noun	硬皮、外殼；麵包皮		High-Intermediate	
crutch	noun	柺杖		Intermediate	
cry	verb/noun	哭泣、喊叫		Elementary	
crystal	noun/adj.	水晶、結晶；水晶的、清澈的		Intermediate	
cub	noun	(熊、獅、虎、狼等)幼獸		Intermediate	
